facilityID,facilityName,state,capacity,annualGeneration,heatInput,operatingHours,SO2Rate,baselineSO2,baselineNOx,baselineCO2,baselinePM25,baselineVOC
1943,Hoot Lake,MN,129.4,213124.5,2501980.08,5057.75,0.5689,749.4649999999999,316.154,262407.725,27.62568402,120.61773
2103,Labadie,MO,2389.6,17357180.79,163826168.9,33280.04,0.4799,39391.897,7649.358,17182089.68,1519.1729781514969,280.9935
2104,Meramec,MO,648.0,109289.24,1192821.779,898.2199999999999,0.38239999999999996,283.54200000000003,94.726,125102.282,5.979,3.673000000000003
2167,New Madrid Power Plant,MO,1200.0,6522932.18,59087591.3,15211.21,0.4079,12032.731,18226.742,6197073.609999999,194.426804036774,220.5147342837816
2168,Thomas Hill Energy Center,MO,1135.0,7264493.32,70350121.8,21793.690000000002,0.38106666666666666,13702.268,12907.975,7377929.48,473.97066614545804,190.4614016659275
2277,Sheldon,NE,228.7,562485.25,5786358.57,6906.210000000001,0.4869,1459.728,1330.712,606873.6780000001,1.736153900000003,18.72552799999998
2291,North Omaha Station,NE,353.6,1926302.67,19927698.61,16175.54,0.5387500000000001,5446.5380000000005,3168.471,2087812.8709999998,175.06429999999972,34.09
2367,Schiller,NH,100.0,2130.51,81632.478,1431.11,0.51145,21.858,6.3629999999999995,7243.368,1.096986285,1.081211189
2836,Avon Lake Power Plant,OH,680.0,272568.24,2534933.81,826.29,0.5838,852.861,308.002,260085.369,57.62602,4.240335
2952,Muskogee,OK,572.0,1509857.58,16450359.4,4078.59,0.3981,3575.878,2595.004,1720356.64,419.9540241,68.997905
3470,W A Parish,TX,2082.8,8238659.29,80007850.1,20710.39,0.5482,22598.373,2347.937,8364680.359999999,1228.5615802010361,130.8116835498314
4158,Dave Johnston,WY,212.0,1369715.17,14661169.08,16586.43,0.6448,4791.688,2590.447,1537670.247,71.6999079265092,24.5266194225721
6009,White Bluff,AR,1700.0,4195520.34,46014977.2,8277.21,0.45155,10711.111,3786.142,4824080.41,459.62098487956996,120.5294288867984
6017,Newton,IL,617.4,2859819.79,28793934.1,6427.39,0.3039,4632.306,1879.548,3019906.63,166.763016,88.338756
6034,Belle River,MI,1395.0,4572762.58,45364366.9,10359.55,0.9955,14596.541000000001,4746.522,4757787.73,19.56463281113212,85.4220151165789
6055,Big Cajun 2,LA,611.0,240449.27,2803829.53,1091.46,0.5018,815.777,164.606,291313.12,29.9125445,18.430073
6073,Daniel Electric Generating Plant,MS,500.0,1539901.42,18042375.6,6373.77,0.0078,94.141,1614.085,1851144.47,35.5664698,30.667615
6077,Gerald Gentleman Station,NE,1362.6,7411841.0,69650462.9,14938.75,0.50975,18175.754999999997,6287.839,7304937.58,149.29476970366738,150.6540315842072
6096,Nebraska City Station,NE,691.0,4234770.04,42217054.9,8507.47,0.436,9459.248,4032.835,4422352.98,118.119108368997,46.3389863214266
6139,Welsh Power Plant,TX,1116.0,3587163.34,38601790.5,12153.220000000001,0.41374999999999995,8168.936,3671.634,4048551.43,24.5348173,15.830000000000002
6155,Rush Island,MO,1242.0,7864247.42,71684446.0,14964.759999999998,0.48045,17321.407,3012.353,7518268.24,-22.327322147188,127.8015054008426
6178,Coleto Creek,TX,632.0,2704811.72,28661161.9,6743.49,0.5547,8114.863,2031.158,3005980.89,140.9607,31.7829
6190,Brame Energy Center,LA,558.0,1240093.02,13526800.6,5677.75,0.2498,1648.515,1257.069,1418689.93,149.06,81.91
6193,Harrington Station,TX,1080.0,3688394.45,35342404.6,18578.41,0.44060000000000005,8183.995000000001,2555.015,3685235.87,73.263067,63.1147
6194,Tolk Station,TX,1136.0,2028808.41,21336678.299999997,8479.369999999999,0.3953,4662.403,1810.87,2222219.42,33.19718063857012,35.0546
6195,John Twitty Energy Center,MO,233.0,574294.41,5577840.42,3976.86,0.5021,1507.986,290.843,576692.555,40.1925823867403,9.89456169429098
6641,Independence,AR,1700.0,3135437.61,35188269.099999994,6811.4,0.43855,7989.339,2991.8289999999997,3688666.34,289.5156436020527,76.9968007951065
6768,Sikeston,MO,261.0,1782953.33,16880136.5,7876.71,0.4995,4265.518,922.491,1770392.75,364.7798,29.414
6772,Hugo,OK,475.0,229045.72,2675860.91,1072.02,0.4269,569.662,242.737,273573.031,15.38341129,9.97424945
8224,North Valmy,NV,254.3,442284.27,4231094.18,3698.34,0.6828,1458.399,679.102,443757.067,31.1325537403415,9.58736854402455
